,rota,atributo 1,atributo 2,correlação,correlação absoluta
244,adc,totalHeal,trueDamageTaken,0.2885445217892584,0.2885445217892584
1135,top,deaths,physicalDamageTaken,0.28830345431553867,0.28830345431553867
168,adc,physicalDamageDealt,visionScore,0.284189173825504,0.284189173825504
354,sup,kills,totalMinionsKilled,0.28404496652361777,0.28404496652361777
223,adc,totalDamageDealtToChampions,totalMinionsKilled,0.2836830985680437,0.2836830985680437
602,mid,goldEarned,physicalDamageDealt,0.2835827639426278,0.2835827639426278
468,sup,physicalDamageTaken,trueDamageDealt,0.28328782034583033,0.28328782034583033
317,sup,deaths,trueDamageTaken,0.28317807610260637,0.28317807610260637
1249,top,neutralMinionsKilled,totalDamageDealtToChampions,0.2830599673217634,0.2830599673217634
1031,jg,timeCCingOthers,totalTimeCrowdControlDealt,0.2825150351889818,0.2825150351889818
715,mid,physicalDamageDealt,totalMinionsKilled,0.28224327045702596,0.28224327045702596
981,jg,neutralMinionsKilled,visionScore,0.2805374893153559,0.2805374893153559
408,sup,magicalDamageTaken,totalMinionsKilled,0.280314868835173,0.280314868835173
664,mid,magicDamageDealt,totalDamageDealtToChampions,0.27989307828210513,0.27989307828210513
445,sup,physicalDamageDealt,visionWardsBoughtInGame,-0.27880971097383517,0.27880971097383517
796,mid,totalHeal,trueDamageTaken,0.2775532277734034,0.2775532277734034
182,adc,physicalDamageDealtToChampions,visionScore,0.27736107918265135,0.27736107918265135
1268,top,physicalDamageDealt,totalTimeCrowdControlDealt,-0.27709153044768636,0.27709153044768636
589,mid,deaths,totalMinionsKilled,-0.27675936433850873,0.27675936433850873
111,adc,magicDamageDealt,totalDamageDealt,0.2762481881834336,0.2762481881834336
1346,top,totalHeal,trueDamageDealt,0.27610096190358036,0.27610096190358036
12,adc,assists,totalDamageDealtToChampions,0.2749320893087413,0.2749320893087413
1244,top,neutralMinionsKilled,physicalDamageDealt,0.27368142739015044,0.27368142739015044
1,adc,assists,goldEarned,0.27362454457608054,0.27362454457608054
141,adc,neutralMinionsKilled,physicalDamageDealtToChampions,0.2732431971931274,0.2732431971931274
945,jg,magicDamageDealt,trueDamageDealt,0.27276262100345466,0.27276262100345466
1001,jg,physicalDamageDealtToChampions,totalDamageDealt,0.2723614452375156,0.2723614452375156
95,adc,longestTimeSpentLiving,totalDamageTaken,-0.2676617515390982,0.2676617515390982
499,sup,totalDamageDealtToChampions,totalMinionsKilled,0.26571972648509956,0.26571972648509956
667,mid,magicDamageDealt,totalMinionsKilled,0.2651633218756402,0.2651633218756402
343,sup,kills,magicDamageDealt,0.26513713360849983,0.26513713360849983
1169,top,goldEarned,wardsPlaced,0.26472438830079914,0.26472438830079914
427,sup,neutralMinionsKilled,trueDamageDealtToChampions,0.26452478540265084,0.26452478540265084
177,adc,physicalDamageDealtToChampions,totalMinionsKilled,0.26404115573858417,0.26404115573858417
944,jg,magicDamageDealt,totalTimeCrowdControlDealt,0.2634894617517295,0.2634894617517295
1235,top,magicalDamageTaken,totalHeal,0.26249034842988395,0.26249034842988395
1326,top,totalDamageDealtToChampions,totalHeal,0.26163175950734174,0.26163175950734174
1063,jg,totalDamageTaken,trueDamageDealtToChampions,0.2613133489510952,0.2613133489510952
459,sup,physicalDamageDealtToChampions,visionWardsBoughtInGame,-0.26112137636633387,0.26112137636633387
739,mid,physicalDamageTaken,totalDamageDealtToChampions,0.2604147403418381,0.2604147403418381
8,adc,assists,physicalDamageDealtToChampions,0.25992068146533637,0.25992068146533637
633,mid,kills,trueDamageDealtToChampions,0.25963134840879215,0.25963134840879215
603,mid,goldEarned,physicalDamageDealtToChampions,0.2578160253622445,0.2578160253622445
939,jg,magicDamageDealt,totalDamageDealt,0.2573810032916226,0.2573810032916226
1358,top,totalMinionsKilled,wardsPlaced,0.25649098827378747,0.25649098827378747
1054,jg,totalDamageDealtToChampions,trueDamageDealtToChampions,0.25629645069312346,0.25629645069312346
1057,jg,totalDamageDealtToChampions,visionWardsBoughtInGame,-0.25580017931435867,0.25580017931435867
863,jg,deaths,totalDamageTaken,0.2547746122987047,0.2547746122987047
1141,top,deaths,totalMinionsKilled,-0.25328959833492076,0.25328959833492076
697,mid,neutralMinionsKilled,totalDamageDealtToChampions,0.2523629229682875,0.2523629229682875
838,jg,assists,timeCCingOthers,0.2517732202977033,0.2517732202977033
1114,top,assists,timeCCingOthers,0.2502672827589989,0.2502672827589989
57,adc,goldEarned,totalHeal,0.24914047469323458,0.24914047469323458
1233,top,magicalDamageTaken,totalDamageDealtToChampions,0.24710147917534908,0.24710147917534908
77,adc,kills,totalHeal,0.2468759862021766,0.2468759862021766
1339,top,totalDamageTaken,trueDamageDealtToChampions,0.2455492747703009,0.2455492747703009
615,mid,goldEarned,visionScore,0.24510621701141005,0.24510621701141005
1174,top,kills,physicalDamageDealt,0.24484634140823316,0.24484634140823316
1282,top,physicalDamageDealtToChampions,totalTimeCrowdControlDealt,-0.2447616273858383,0.2447616273858383
613,mid,goldEarned,trueDamageDealtToChampions,0.24451720937343036,0.24451720937343036
1252,top,neutralMinionsKilled,totalMinionsKilled,0.24445373753678346,0.24445373753678346
762,mid,totalDamageDealt,totalDamageDealtToChampions,0.24275657306101092,0.24275657306101092
404,sup,magicalDamageTaken,totalDamageDealt,0.24242826803788317,0.24242826803788317
1291,top,physicalDamageTaken,totalDamageDealtToChampions,0.24213465798681433,0.24213465798681433
332,sup,goldEarned,totalDamageTaken,0.24178156955871835,0.24178156955871835
564,mid,assists,totalDamageDealtToChampions,0.2413034605113653,0.2413034605113653
41,adc,deaths,trueDamageTaken,0.24044398788814658,0.24044398788814658
187,adc,physicalDamageTaken,totalDamageDealtToChampions,0.23860301688316285,0.23860301688316285
164,adc,physicalDamageDealt,totalTimeCrowdControlDealt,-0.23857433724529073,0.23857433724529073
348,sup,kills,physicalDamageTaken,0.23853893662965947,0.23853893662965947
681,mid,magicalDamageTaken,totalDamageDealtToChampions,0.23710779907420174,0.23710779907420174
335,sup,goldEarned,totalTimeCrowdControlDealt,0.23681403799905862,0.23681403799905862
330,sup,goldEarned,totalDamageDealt,0.23669587711991052,0.23669587711991052
593,mid,deaths,trueDamageTaken,0.23644510292771,0.23644510292771
649,mid,longestTimeSpentLiving,totalMinionsKilled,0.23610563598844422,0.23610563598844422
61,adc,goldEarned,trueDamageDealtToChampions,0.23593073092794067,0.23593073092794067
493,sup,totalDamageDealt,trueDamageTaken,0.23558087303506897,0.23558087303506897
